"Браузер","Визиты","Доля"
"Google Chrome","1867449490","0.400608315392637"
"Яндекс.Браузер","952577836","0.20434855357738413"
"Safari","498193671","0.10687332018740901"
"Opera","243150534","0.052161049781624946"
"Firefox","200957933","0.04310982408628168"
"Android Browser","131751149","0.028263471721494494"
"Samsung Internet","126398330","0.02711517624487001"
"Internet Explorer","85755041","0.018396311490832623"
"Edge","71815363","0.015405948993426706"
"MIUI browser","62940692","0.013502140072215195"
"UC Browser","18717405","0.004015288298679351"
"Amigo","11650665","0.0024993196891520517"
"Остальные","390176408","0.08370128046399275"
